original_name,public_name,public_path,pdf_id,public_id,page_count,strategy,pii_block_hits,recurring_header_footer_hits,flags,anchor_found,anchor_text
00138_Ciência_Animal_Brasileira_2023.pdf,case_0016.pdf,anonymized_pdfs/case_0016.pdf,16,case_0016,8,cover_swap_first_page,4,7,cover_swapped,,
00140_Ciência_Animal_Brasileira_2023.pdf,case_0017.pdf,anonymized_pdfs/case_0017.pdf,17,case_0017,5,cover_swap_first_page,4,4,cover_swapped,,
00158_Ensaio_2024.pdf,case_0018.pdf,anonymized_pdfs/case_0018.pdf,18,case_0018,22,cover_swap_first_page,18,44,cover_swapped,,
00200_Horizonte_2021.pdf,case_0019.pdf,anonymized_pdfs/case_0019.pdf,19,case_0019,20,cover_swap_first_page,23,19,cover_swapped,,
00253_Ornamental_Horticulture_2025.pdf,case_0020.pdf,anonymized_pdfs/case_0020.pdf,20,case_0020,11,cover_swap_first_page,32,24,cover_swapped,,
00257_Ornamental_Horticulture_2024.pdf,case_0021.pdf,anonymized_pdfs/case_0021.pdf,21,case_0021,6,cover_swap_first_page,30,10,cover_swapped,,
00296_Revista_Brasileira_de_Agroecol_2024.pdf,case_0022.pdf,anonymized_pdfs/case_0022.pdf,22,case_0022,24,cover_swap_first_page,31,92,cover_swapped,,
00297_Revista_Brasileira_de_Agroecol_2024.pdf,case_0023.pdf,anonymized_pdfs/case_0023.pdf,23,case_0023,27,cover_swap_first_page,39,104,cover_swapped,,
00313_Revista_Brasileira_de_Engenhar_2024.pdf,case_0024.pdf,anonymized_pdfs/case_0024.pdf,24,case_0024,5,cover_swap_first_page,11,4,cover_swapped,,
00319_Revista_Brasileira_de_Engenhar_2022.pdf,case_0025.pdf,anonymized_pdfs/case_0025.pdf,25,case_0025,8,cover_swap_first_page,32,7,cover_swapped,,
00343_Revista_Brasileira_de_Saúde_e_2025.pdf,case_0026.pdf,anonymized_pdfs/case_0026.pdf,26,case_0026,15,cover_swap_first_page,65,28,cover_swapped,,
00345_Revista_Brasileira_de_Saúde_e_2024.pdf,case_0027.pdf,anonymized_pdfs/case_0027.pdf,27,case_0027,11,cover_swap_first_page,22,20,cover_swapped,,
00349_Revista_Brasileira_de_Saúde_e_2023.pdf,case_0028.pdf,anonymized_pdfs/case_0028.pdf,28,case_0028,14,cover_swap_first_page,35,26,cover_swapped,,
00350_Revista_Brasileira_de_Saúde_e_2023.pdf,case_0029.pdf,anonymized_pdfs/case_0029.pdf,29,case_0029,15,cover_swap_first_page,35,14,cover_swapped,,
00351_Revista_Brasileira_de_Zootecni_2022.pdf,case_0030.pdf,anonymized_pdfs/case_0030.pdf,30,case_0030,10,cover_swap_first_page,24,18,cover_swapped,,
00354_Revista_Brasileira_de_Zootecni_2018.pdf,case_0031.pdf,anonymized_pdfs/case_0031.pdf,31,case_0031,10,cover_swap_first_page,17,9,cover_swapped,,
00355_Revista_Brasileira_de_Zootecni_2018.pdf,case_0032.pdf,anonymized_pdfs/case_0032.pdf,32,case_0032,6,cover_swap_first_page,9,5,cover_swapped,,
00357_Revista_Brasileira_de_Zootecni_2016.pdf,case_0033.pdf,anonymized_pdfs/case_0033.pdf,33,case_0033,9,cover_swap_first_page,2,8,cover_swapped,,
00359_Revista_Brasileira_de_Zootecni_2014.pdf,case_0034.pdf,anonymized_pdfs/case_0034.pdf,34,case_0034,7,cover_swap_first_page,0,6,cover_swapped;no_explicit_pii_match,,
00473_Sophia_Austral_2026.pdf,case_0035.pdf,anonymized_pdfs/case_0035.pdf,35,case_0035,16,cover_swap_first_page,36,15,cover_swapped,,
00474_Sophia_Austral_2025.pdf,case_0036.pdf,anonymized_pdfs/case_0036.pdf,36,case_0036,22,cover_swap_first_page,6,24,cover_swapped,,
00476_Sophia_Austral_2025.pdf,case_0037.pdf,anonymized_pdfs/case_0037.pdf,37,case_0037,16,cover_swap_first_page,11,15,cover_swapped,,
00479_Sophia_Austral_2025.pdf,case_0038.pdf,anonymized_pdfs/case_0038.pdf,38,case_0038,14,cover_swap_first_page,34,13,cover_swapped,,
00504_Ciencia_y_Tecnología_Agropecua_2024.pdf,case_0039.pdf,anonymized_pdfs/case_0039.pdf,39,case_0039,13,cover_swap_first_page,39,24,cover_swapped,,
00507_Ciencia_y_Tecnología_Agropecua_2023.pdf,case_0040.pdf,anonymized_pdfs/case_0040.pdf,40,case_0040,10,cover_swap_first_page,35,18,cover_swapped,,
00509_Ciencia_y_Tecnología_Agropecua_2023.pdf,case_0041.pdf,anonymized_pdfs/case_0041.pdf,41,case_0041,21,cover_swap_first_page,63,54,cover_swapped,,
00523_Cuadernos_de_Geografía_Revista_2024.pdf,case_0042.pdf,anonymized_pdfs/case_0042.pdf,42,case_0042,21,cover_swap_first_page,32,20,cover_swapped,,
